,bike_group,duration,Tempbyduration,Humibyduration,Presbyduration,Dewbyduration,Visibyduration,trips number,subscriber ratio,morning rate,afternoon rate,evening rate,night rate,mean_household_income,commuting_to_work_perc_PT,mean_work_commuting_time_min,perc_HS_or_higher,perc_bachelor_or_higher,start_crime_score,end_crime_score
0,100_0,28972,72.23648004970316,0.5268495443876846,29.868049668645593,57.83741198398454,27.29471558746376,13,0.0,0.0,0.5020364489852271,0.38264531271572555,0.0,208818.76923076922,6.299999999999998,23.12307692307692,0.9753846153846156,0.7761538461538462,389.4230769230769,408.61538461538464
1,100_1,35732,71.46816858838017,0.37315781372439266,29.980118381282885,43.1085469607075,29.860069405574833,9,0.4444444444444444,0.14748684652412403,0.30317362588156277,0.5493395275943133,0.0,209228.0,6.299999999999999,23.12222222222222,0.9755555555555557,0.7766666666666667,391.55555555555554,419.27777777777777
2,100_2,7184,62.030734966592426,0.533772271714922,30.12549044172235,42.67121380846325,9.568930957683742,10,0.4,0.4551781737193764,0.3589922048997773,0.10189309576837416,0.03994988864142539,74285.0,5.0,23.0,0.6899999999999998,0.16999999999999998,752.3333333333336,752.3333333333336
3,100_3,267,53.6,0.77,30.1,46.4,10.0,1,1.0,1.0,0.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
4,100_4,239,44.6,0.49,30.07,26.6,10.0,1,1.0,1.0,0.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
5,100_5,444,53.6,0.54,30.14,37.4,8.0,1,1.0,0.0,0.0,1.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
6,100_6,634,64.33075709779179,0.2483753943217666,30.361025236593058,27.168296529968455,10.0,2,0.5,0.0,0.0,1.0,0.0,137578.5,5.8,22.3,0.935,0.625,65.16666666666667,65.16666666666667
7,100_7,2031,53.10177252584934,0.8674150664697193,30.0818266863614,49.25288035450517,10.0,3,1.0,1.0,0.0,0.0,0.0,142059.0,7.1,23.6,0.94,0.67,55.33333333333334,75.83333333333333
8,100_8,12348,61.9266723356009,0.5335236475542598,30.16018545513443,44.5352364755426,10.0,2,0.5,0.018545513443472626,0.9814544865565273,0.0,0.0,103691.5,4.75,22.0,0.81,0.375,413.66666666666674,752.3333333333335
9,100_9,103598,66.93056284870363,0.6711911909496321,29.949592559701912,55.193386455337,10.403144848356146,144,0.8472222222222222,0.22954111083225545,0.14810131469719492,0.5184463020521631,0.03235583698526998,155530.45588235295,22.100735294117648,26.537499999999998,0.8991911764705894,0.6168382352941171,2667.3284313725494,2616.9644607843134
10,101_0,10138,74.46149635036497,0.5284804695206154,29.92923061747879,55.484592621818905,10.0,15,0.7333333333333333,0.016078121917537977,0.24955612546853423,0.5930163740382719,0.14134937857565594,89169.14285714286,11.921428571428573,28.678571428571427,0.8678571428571428,0.43071428571428566,733.642857142857,748.2666666666667
11,101_1,4228,69.82047461368654,0.6259271523178808,29.87321822768843,55.58036108483128,10.0,6,0.6666666666666666,0.0,0.3576158940397351,0.0,0.23320719016083255,87130.66666666667,10.766666666666666,27.683333333333337,0.8366666666666666,0.375,608.0555555555555,574.6666666666666
12,101_2,30148,59.7874601963646,0.6330846988191586,29.968878947193843,46.04475587103622,9.957833023749503,29,0.6206896551724138,0.14375746318163726,0.08003847684755208,0.31653841050815973,0.01562292689398965,154762.24137931035,26.29655172413793,27.21379310344827,0.8896551724137932,0.6082758620689656,3754.103448275863,4082.931034482759
13,101_3,605,58.27404958677686,0.5208264462809917,30.222264462809918,39.955702479338846,10.0,2,1.0,0.4033057851239669,0.0,0.596694214876033,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
14,101_4,4423,58.1,0.6950000000000001,30.179999999999996,48.2,10.0,1,0.0,1.0,0.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
15,101_5,65944,69.88570150430667,0.5874434368555135,29.965246876137325,53.75185536212545,9.945772170326338,72,0.8611111111111112,0.07982530632051438,0.42064478951837925,0.19809232075700595,0.21127016862792672,92961.92424242424,10.89545454545455,26.877272727272732,0.8104545454545454,0.3921212121212122,715.292929292929,651.0746268656712
16,102_0,9223,74.82378835519897,0.48069933860999675,29.89515775777947,52.36611731540714,10.0,18,0.7777777777777778,0.14539737612490514,0.5698796487043262,0.22107774043152986,0.06364523473923886,92778.4705882353,11.194117647058823,27.25294117647059,0.8223529411764705,0.40411764705882336,725.2352941176471,780.21568627451
17,102_1,10912,64.77629215542522,0.4235085227272727,30.015669904692082,37.910515945747804,9.561290322580646,18,0.9444444444444444,0.5578262463343109,0.17146260997067447,0.12435850439882698,0.0,87382.4705882353,11.752941176470587,28.7764705882353,0.8711764705882354,0.4199999999999999,693.8039215686275,642.7450980392157
18,102_2,15997,57.69050759517409,0.48757548290304437,30.110981434018882,37.96844408326562,9.778583484403326,14,0.5714285714285714,0.044945927361380256,0.7216353066199912,0.2334187660186285,0.0,134964.0,7.025,20.974999999999998,0.9324999999999999,0.6174999999999999,86.08333333333333,87.2222222222222
19,102_3,1172,59.45676905574516,0.5929806598407281,30.226541524459613,44.6226393629124,10.0,3,1.0,0.16723549488054607,0.6313993174061433,0.20136518771331058,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,75.83333333333333
20,102_4,6978,61.76626540556033,0.3975573230151906,30.115096732588132,36.30957294353683,10.0,3,0.3333333333333333,0.5424190312410433,0.4575809687589567,0.0,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,96.33333333333331
21,102_5,1635,58.213455657492354,0.7130703363914372,30.13924159021407,48.76146788990825,10.0,5,0.8,0.0,0.0,1.0,0.0,132599.0,7.0,20.1,0.93,0.6,96.33333333333331,96.33333333333331
22,102_6,81763,69.84024589361934,0.5728044469992539,29.957196562014598,54.48178118464343,13.703600650661057,70,0.7714285714285715,0.2724337414233822,0.10973178577107004,0.47698836882208334,0.0992991940119614,161779.92,6.492000000000003,21.620000000000008,0.9477999999999999,0.6698000000000001,199.22333333333353,219.84042553191512
23,103_0,73637,74.18313212108043,0.5337430232084415,29.954595380039926,54.66976519956001,24.1679183019406,18,0.1111111111111111,0.1454703477871179,0.48008474000841966,0.324714477776118,0.04973043442834445,217208.0,6.299999999999998,23.10555555555556,0.9788888888888891,0.7866666666666663,433.1388888888889,426.3333333333333
24,103_1,8845,52.60506500847938,0.8590944036178633,30.09532617297909,48.2,13.718598078010174,2,0.0,0.0,0.1457320520067835,0.0,0.8542679479932165,171988.0,6.3,23.2,0.96,0.73,197.5,322.25
25,103_2,4851,56.97658214801073,0.6324654710368998,30.056286332714908,50.20076272933415,15.656565656565656,6,0.5,0.049062049062049064,0.2828282828282828,0.11997526283240569,0.5481344052772624,154665.75,5.575,21.299999999999997,0.9425000000000001,0.6375000000000001,173.33333333333331,85.66666666666666
26,103_3,7690,52.20122236671001,0.5302633289986997,30.10151755526658,34.70765279583875,8.877113133940181,16,0.8125,0.47425227568270484,0.17217165149544864,0.30052015604681404,0.05305591677503251,91858.0,12.37142857142857,28.757142857142863,0.87,0.45571428571428557,809.952380952381,904.0666666666668
27,103_4,513,58.31578947368421,0.4294736842105263,30.064736842105262,34.94736842105263,9.473684210526315,2,1.0,0.47368421052631576,0.5263157894736842,0.0,0.0,96100.0,11.75,27.35,0.825,0.435,819.5,819.5
28,103_5,274,53.6,0.88,30.310000000000002,50.0,6.0,1,1.0,1.0,0.0,0.0,0.0,219868.0,6.3,23.1,0.98,0.79,447.0,447.0
29,103_6,5770,61.29414211438474,0.45605719237435005,30.104785095320622,39.83265164644714,14.870017331022531,3,0.3333333333333333,0.0535528596187175,0.702946273830156,0.24350086655112652,0.0,171340.33333333334,5.866666666666667,23.066666666666666,0.8833333333333333,0.5833333333333334,548.7777777777778,548.7777777777778
30,103_7,195,53.6,0.8199999999999998,29.989999999999995,48.2,6.0,1,1.0,1.0,0.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
31,103_8,2504,61.64321086261981,0.5203234824281151,30.001277955271565,42.543370607028756,9.865015974440894,11,1.0,0.20806709265175719,0.1761182108626198,0.43450479233226835,0.0810702875399361,74285.0,5.0,23.0,0.6899999999999998,0.16999999999999996,752.3333333333336,752.3333333333336
32,104_0,462,64.9,0.78,29.94,57.9,10.0,1,1.0,0.0,0.0,1.0,0.0,133098.0,4.5,21.0,0.93,0.58,75.0,55.33333333333334
33,104_1,6903,61.967535853976536,0.6611603650586702,30.01300738809213,49.79856584093872,25.698174706649283,4,0.25,0.247283789656671,0.0,0.621903520208605,0.0,195928.0,6.3,23.15,0.97,0.76,322.25,322.25
34,104_2,8326,60.52046601008889,0.7972730002402115,29.943690247417724,53.9036151813596,9.155296661061735,3,0.6666666666666666,0.0,0.0,0.9104011530146529,0.0895988469853471,89826.0,10.699999999999998,27.166666666666668,0.82,0.37666666666666665,641.4444444444445,641.4444444444445
35,104_3,357,57.9,0.27,29.94,24.1,10.0,1,1.0,0.0,0.0,1.0,0.0,98750.0,15.3,31.0,0.94,0.6,1153.3333333333333,485.66666666666674
36,104_4,9656,59.16834438000552,0.4813989574703121,30.021890879591275,37.11522024302678,8.56338028169014,11,0.5454545454545454,0.11712924606462304,0.11132974316487158,0.6874482187241093,0.06079121789560895,91448.54545454546,11.536363636363635,27.863636363636363,0.8418181818181818,0.41727272727272735,734.5151515151515,734.5151515151514
37,104_5,611,56.43813420621931,0.6852864157119477,30.150327332242224,46.0,10.0,2,1.0,0.5040916530278232,0.0,0.4959083469721768,0.0,96100.0,11.75,27.35,0.825,0.435,819.5,819.5
38,104_6,58098,69.81965300010326,0.4765761299872627,29.960395710695717,46.90367740713966,13.022763262074426,73,0.863013698630137,0.08687046025680746,0.20277806464938553,0.5955110330820338,0.039278460532204205,106530.27272727272,11.24090909090909,27.50757575757576,0.868030303030303,0.484545454545455,728.5530303030303,746.4000000000004
40,105_1,6718,80.55,0.435,29.77,56.5,10.0,1,0.0,0.0,1.0,0.0,0.0,142059.0,7.1,23.6,0.94,0.67,55.33333333333334,55.33333333333334
41,105_2,2248,64.08104982206406,0.6695951957295374,29.88388790035587,52.709653024911034,10.0,4,1.0,0.42526690391459077,0.0,0.21085409252669038,0.21841637010676157,136085.0,5.366666666666667,21.866666666666664,0.9333333333333335,0.61,68.44444444444444,65.16666666666667
42,105_3,6617,58.80740516850537,0.7216563397309961,30.100400483602836,49.135227444461236,7.935695934713617,13,0.8461538461538461,0.43539368293788727,0.45700468490252383,0.06997128608130573,0.0,74285.0,5.0,23.0,0.6899999999999997,0.16999999999999996,752.3333333333337,752.3333333333337
43,105_4,201,59.0,0.51,30.29,41.0,10.0,1,1.0,0.0,1.0,0.0,0.0,74285.0,5.0,23.0,0.69,0.17,752.3333333333335,752.3333333333335
44,105_5,2519,60.65815799920603,0.6899331745401615,29.97053923514622,49.79563318777293,9.972938996956463,7,1.0,0.21992854307264786,0.1961095672886066,0.16236601826121477,0.1976974990075427,74285.0,5.0,23.0,0.6900000000000001,0.16999999999999998,752.3333333333334,752.3333333333334
45,106_0,1842,77.0,0.4596742671009772,29.973631921824104,54.314332247557005,10.0,2,0.0,0.0,1.0,0.0,0.0,77278.0,8.6,26.8,0.81,0.26,285.3333333333333,285.3333333333333
46,106_1,32184,68.69302655563844,0.5234154134559615,29.93279072416936,48.10560060899825,9.666298989145746,46,0.7608695652173914,0.11132861048968432,0.4463087248322148,0.388733532189908,0.03405418841660452,90650.44444444444,11.804444444444451,28.302222222222216,0.8557777777777779,0.42800000000000005,745.3037037037035,717.8840579710142
47,106_2,13272,55.550904159132,0.6245855937311634,29.93205206449668,42.55306283905968,10.0,8,0.375,0.0,0.2640144665461121,0.48568414707655216,0.11407474382157927,89547.71428571429,12.428571428571427,29.2,0.8842857142857142,0.45428571428571435,781.3333333333333,657.3333333333333
48,106_3,2046,52.38411534701858,0.47397360703812325,30.10807917888563,32.49633431085044,10.0,4,1.0,0.30791788856304986,0.13343108504398826,0.26588465298142716,0.0,81321.0,8.5,26.025,0.785,0.2625,335.4166666666667,335.41666666666663
49,106_4,1203,58.45,0.415,30.065,35.0,10.0,1,1.0,0.0,0.0,1.0,0.0,77278.0,8.6,26.8,0.81,0.26,285.3333333333333,485.66666666666674
